"Date","Price","Open","High","Low","Vol.","Change %"
"2022-07-21","12,882.48","12,882.48","12,882.48","12,882.48","","0.95%"
"2022-07-20","12,761.20","12,761.20","12,761.20","12,761.20","","0.80%"
"2022-07-19","12,659.95","12,659.95","12,659.95","12,659.95","","2.84%"
"2022-07-18","12,310.73","12,310.73","12,310.73","12,310.73","","-0.72%"
"2022-07-15","12,400.55","12,400.55","12,400.55","12,400.55","","1.96%"
"2022-07-14","12,161.77","12,161.77","12,161.77","12,161.77","","-0.45%"
"2022-07-13","12,217.29","12,217.29","12,217.29","12,217.29","","-0.41%"
"2022-07-12","12,267.97","12,267.97","12,267.97","12,267.97","","-0.87%"
"2022-07-11","12,375.92","12,375.92","12,375.92","12,375.92","","-1.28%"
"2022-07-08","12,536.24","12,536.24","12,536.24","12,536.24","","-0.11%"
"2022-07-07","12,549.75","12,549.75","12,549.75","12,549.75","","1.67%"
"2022-07-06","12,344.13","12,344.13","12,344.13","12,344.13","","0.17%"
"2022-07-05","12,323.67","12,323.67","12,323.67","12,323.67","","0.34%"
"2022-07-01","12,282.28","12,282.28","12,282.28","12,282.28","","1.14%"
"2022-06-30","12,143.93","12,143.93","12,143.93","12,143.93","","-0.92%"
"2022-06-29","12,257.03","12,257.03","12,257.03","12,257.03","","-0.20%"
"2022-06-28","12,282.08","12,282.08","12,282.08","12,282.08","","-2.02%"
"2022-06-27","12,535.49","12,535.76","12,535.76","12,535.76","","-0.27%"
"2022-06-24","12,569.72","12,569.72","12,569.72","12,569.72","","3.14%"
"2022-06-23","12,187.19","12,187.19","12,187.19","12,187.19","","1.07%"
"2022-06-22","12,057.96","12,057.96","12,057.96","12,057.96","","-0.12%"
"2022-06-21","12,071.94","12,071.94","12,071.94","12,071.94","","2.32%"
"2022-06-17","11,797.99","11,797.99","11,797.99","11,797.99","","0.41%"
"2022-06-16","11,750.33","11,750.33","11,750.33","11,750.33","","-3.48%"
"2022-06-15","12,173.42","12,173.42","12,173.42","12,173.42","","1.50%"
"2022-06-14","11,993.75","11,993.75","11,993.75","11,993.75","","-0.33%"
"2022-06-13","12,033.73","12,033.73","12,033.73","12,033.73","","-4.08%"
"2022-06-10","12,545.00","12,545.00","12,545.00","12,545.00","","-2.95%"
"2022-06-09","12,925.90","12,925.90","12,925.90","12,925.90","","-2.38%"
"2022-06-08","13,240.48","13,240.48","13,240.48","13,240.48","","-1.10%"
"2022-06-07","13,387.88","13,387.88","13,387.88","13,387.88","","1.05%"
"2022-06-06","13,249.06","13,249.06","13,249.06","13,249.06","","0.32%"
"2022-06-03","13,206.63","13,206.63","13,206.63","13,206.63","","-1.58%"
"2022-06-02","13,418.88","13,418.88","13,418.88","13,418.88","","2.01%"
"2022-06-01","13,154.89","13,154.89","13,154.89","13,154.89","","-0.74%"
"2022-05-31","13,252.63","13,252.63","13,252.63","13,252.63","","-0.74%"
"2022-05-27","13,351.24","13,351.24","13,351.24","13,351.24","","2.54%"
"2022-05-26","13,021.05","13,021.05","13,021.05","13,021.05","","2.06%"
"2022-05-25","12,758.64","12,758.64","12,758.64","12,758.64","","1.14%"
"2022-05-24","12,615.20","12,615.20","12,615.20","12,615.20","","-1.01%"
"2022-05-23","12,743.88","12,743.88","12,743.88","12,743.88","","1.74%"
"2022-05-20","12,525.69","12,525.69","12,525.69","12,525.69","","0.00%"
"2022-05-19","12,525.34","12,525.34","12,525.34","12,525.34","","-0.40%"
"2022-05-18","12,575.70","12,575.70","12,575.70","12,575.70","","-3.98%"
"2022-05-17","13,097.42","13,097.42","13,097.42","13,097.42","","2.13%"
"2022-05-16","12,823.96","12,823.96","12,823.96","12,823.96","","-0.51%"
"2022-05-13","12,889.73","12,889.73","12,889.73","12,889.73","","2.62%"
"2022-05-12","12,560.91","12,560.91","12,560.91","12,560.91","","0.12%"
"2022-05-11","12,546.37","12,546.37","12,546.37","12,546.37","","-1.78%"
"2022-05-10","12,773.92","12,773.92","12,773.92","12,773.92","","0.21%"
"2022-05-09","12,747.01","12,747.01","12,747.01","12,747.01","","-3.44%"
"2022-05-06","13,201.47","13,201.47","13,201.47","13,201.47","","-0.78%"
"2022-05-05","13,304.60","13,304.60","13,304.60","13,304.60","","-3.68%"
"2022-05-04","13,813.06","13,813.06","13,813.06","13,813.06","","2.93%"
"2022-05-03","13,420.23","13,420.23","13,420.23","13,420.23","","0.47%"
"2022-05-02","13,357.67","13,357.67","13,357.67","13,357.67","","0.66%"
"2022-04-29","13,270.42","13,270.42","13,270.42","13,270.42","","-3.55%"
"2022-04-28","13,759.25","13,759.25","13,759.25","13,759.25","","2.41%"
"2022-04-27","13,434.88","13,434.88","13,434.88","13,434.88","","0.14%"
"2022-04-26","13,416.26","13,416.26","13,416.26","13,416.26","","-2.89%"
"2022-04-25","13,815.27","13,815.27","13,815.27","13,815.27","","0.64%"
"2022-04-22","13,727.31","13,727.31","13,727.31","13,727.31","","-2.73%"
"2022-04-21","14,112.29","14,112.29","14,112.29","14,112.29","","-1.64%"
"2022-04-20","14,347.72","14,347.72","14,347.72","14,347.72","","-0.09%"
"2022-04-19","14,360.48","14,360.48","14,360.48","14,360.48","","1.74%"
"2022-04-18","14,114.58","14,114.58","14,114.58","14,114.58","","-0.17%"
"2022-04-14","14,138.13","14,138.13","14,138.13","14,138.13","","-1.21%"
"2022-04-13","14,311.89","14,311.89","14,311.89","14,311.89","","1.29%"
"2022-04-12","14,129.86","14,129.86","14,129.86","14,129.86","","-0.29%"
"2022-04-11","14,171.43","14,171.43","14,171.43","14,171.43","","-1.53%"
"2022-04-08","14,391.62","14,391.62","14,391.62","14,391.62","","-0.32%"
"2022-04-07","14,438.42","14,438.42","14,438.42","14,438.42","","0.33%"
"2022-04-06","14,390.84","14,390.84","14,390.84","14,390.84","","-1.08%"
"2022-04-05","14,547.86","14,547.86","14,547.86","14,547.86","","-1.42%"
"2022-04-04","14,757.44","14,757.44","14,757.44","14,757.44","","0.79%"
"2022-04-01","14,642.42","14,642.42","14,642.42","14,642.42","","0.44%"
"2022-03-31","14,578.75","14,578.75","14,578.75","14,578.75","","-1.52%"
"2022-03-30","14,803.27","14,803.27","14,803.27","14,803.27","","-0.79%"
"2022-03-29","14,920.71","14,920.71","14,920.71","14,920.71","","1.45%"
"2022-03-28","14,707.19","14,707.19","14,707.19","14,707.19","","0.69%"
"2022-03-25","14,606.79","14,606.79","14,606.79","14,606.79","","0.40%"
"2022-03-24","14,548.72","14,548.72","14,548.72","14,548.72","","1.40%"
"2022-03-23","14,348.20","14,348.20","14,348.20","14,348.20","","-1.28%"
"2022-03-22","14,534.18","14,534.18","14,534.18","14,534.18","","1.18%"
"2022-03-21","14,364.00","14,364.00","14,364.00","14,364.00","","-0.16%"
"2022-03-18","14,387.15","14,387.15","14,387.15","14,387.15","","1.24%"
"2022-03-17","14,211.16","14,211.16","14,211.16","14,211.16","","1.34%"
"2022-03-16","14,023.20","14,023.20","14,023.20","14,023.20","","2.45%"
"2022-03-15","13,687.50","13,687.50","13,687.50","13,687.50","","2.07%"
"2022-03-14","13,409.73","13,409.73","13,409.73","13,409.73","","-0.92%"
"2022-03-11","13,534.66","13,534.66","13,534.66","13,534.66","","-1.39%"
"2022-03-10","13,725.17","13,725.17","13,725.17","13,725.17","","-0.42%"
"2022-03-09","13,782.71","13,782.71","13,782.71","13,782.71","","2.68%"
"2022-03-08","13,423.00","13,423.00","13,423.00","13,423.00","","-0.55%"
"2022-03-07","13,497.83","13,497.83","13,497.83","13,497.83","","-3.05%"
"2022-03-04","13,923.04","13,923.04","13,923.04","13,923.04","","-0.97%"
"2022-03-03","14,060.05","14,060.05","14,060.05","14,060.05","","-0.73%"
"2022-03-02","14,163.58","14,163.58","14,163.58","14,163.58","","1.90%"
"2022-03-01","13,899.28","13,899.28","13,899.28","13,899.28","","-1.57%"
"2022-02-28","14,120.73","14,120.73","14,120.73","14,120.73","","-0.11%"
"2022-02-25","14,136.14","14,136.14","14,136.14","14,136.14","","2.27%"
"2022-02-24","13,821.95","13,821.95","13,821.95","13,821.95","","1.74%"
"2022-02-23","13,585.04","13,585.04","13,585.04","13,585.04","","-1.89%"
"2022-02-22","13,847.15","13,847.15","13,847.15","13,847.15","","-1.07%"
"2022-02-18","13,996.31","13,996.31","13,996.31","13,996.31","","-0.78%"
"2022-02-17","14,106.47","14,106.47","14,106.47","14,106.47","","-2.22%"
"2022-02-16","14,427.30","14,427.30","14,427.30","14,427.30","","0.05%"
"2022-02-15","14,420.63","14,420.63","14,420.63","14,420.63","","1.76%"
"2022-02-14","14,170.77","14,170.77","14,170.77","14,170.77","","-0.40%"
"2022-02-11","14,227.13","14,227.13","14,227.13","14,227.13","","-1.85%"
"2022-02-10","14,495.60","14,495.60","14,495.60","14,495.60","","-1.74%"
"2022-02-09","14,752.77","14,752.77","14,752.77","14,752.77","","1.59%"
"2022-02-08","14,521.76","14,521.76","14,521.76","14,521.76","","0.93%"
"2022-02-07","14,387.66","14,387.66","14,387.66","14,387.66","","-0.27%"
"2022-02-04","14,426.52","14,426.52","14,426.52","14,426.52","","0.66%"
"2022-02-03","14,332.51","14,332.51","14,332.51","14,332.51","","-2.44%"
